,date,neg,pos,total
353,1862-04-17,323,816,25835
354,1862-04-18,401,835,25076
355,1862-04-19,397,705,24844
356,1862-04-20,301,549,21677
357,1862-04-21,396,795,21926
358,1862-04-22,403,786,24013
359,1862-04-23,320,648,25239
360,1862-04-24,330,768,25318
361,1862-04-25,441,666,24838
362,1862-04-26,435,741,25463
363,1862-04-27,380,632,24395
364,1862-04-28,415,706,24323
365,1862-04-29,374,708,22677
366,1862-04-30,402,734,25058
367,1862-05-01,331,682,27466
368,1862-05-02,366,695,26478
369,1862-05-03,338,804,26903
370,1862-05-04,337,640,22917
371,1862-05-06,435,740,27110
372,1862-05-08,382,776,29106
373,1862-05-10,351,628,26397
374,1862-05-11,364,717,27370
375,1862-05-12,473,735,23563
376,1862-05-13,316,694,24226
377,1862-05-14,342,666,24728
378,1862-05-15,356,692,24973
379,1862-05-16,398,746,24996
380,1862-05-17,293,581,23582
381,1862-05-18,437,739,25185
382,1862-05-19,395,793,23698
383,1862-05-20,456,867,25729
384,1862-05-21,333,727,26462
385,1862-05-22,354,820,25227
386,1862-05-23,362,648,26029
387,1862-05-24,360,665,25120
388,1862-05-25,385,722,26186
389,1862-05-26,460,733,26159
390,1862-05-27,384,755,25565
391,1862-05-28,369,650,23463
392,1862-05-29,359,595,24297
393,1862-05-30,307,555,20506
394,1862-05-31,271,649,20307
395,1862-06-01,356,634,23430
396,1862-06-02,487,624,22535
397,1862-06-03,410,825,24916
398,1862-06-04,389,607,25094
399,1862-06-05,365,658,26433
400,1862-06-06,391,703,23777
401,1862-06-07,386,716,25874
402,1862-06-08,402,759,27162
403,1862-06-09,435,773,23017
404,1862-06-10,409,665,25585
405,1862-06-11,338,670,23895
406,1862-06-12,393,792,26307
407,1862-06-13,465,728,25513
408,1862-06-14,338,685,25635
409,1862-06-15,342,733,25027
410,1862-06-16,565,914,24907
411,1862-06-17,392,775,25568
412,1862-06-18,396,732,28898
413,1862-06-19,456,847,28967
414,1862-06-20,419,752,28020
415,1862-06-22,356,714,27105
416,1862-06-23,438,819,26959
417,1862-06-24,431,781,25619
418,1862-06-25,441,691,27766
419,1862-06-26,388,748,28273
420,1862-06-27,325,619,27862
421,1862-06-28,506,872,29134
422,1862-06-29,349,711,24019
423,1862-06-30,419,695,24269
424,1862-07-01,456,753,27531
425,1862-07-02,391,619,25567
426,1862-07-03,424,784,28708
427,1862-07-04,426,687,26013
428,1862-07-05,542,925,26419
429,1862-07-06,350,671,23398
430,1862-07-07,379,633,24111
431,1862-07-08,360,638,24284
432,1862-07-09,365,592,24558
433,1862-07-10,293,779,27402
434,1862-07-11,398,712,27214
435,1862-07-12,314,702,27616
436,1862-07-13,295,633,24181
437,1862-07-14,426,794,25570
438,1862-07-15,319,700,24028
439,1862-07-16,377,662,27548
440,1862-07-17,410,768,25029
441,1862-07-18,390,725,25083
442,1862-07-19,425,686,24406
443,1862-07-20,355,682,23436
444,1862-07-21,549,814,24741
445,1862-07-22,420,793,25393
446,1862-07-24,484,625,26408
447,1862-07-25,437,725,25940
448,1862-07-26,392,796,25959
449,1862-07-27,381,674,23768
450,1862-07-28,411,705,23131
451,1862-07-29,438,847,26297
452,1862-07-30,378,629,23387
453,1862-07-31,429,802,25819
454,1862-08-01,488,790,25242
455,1862-08-02,423,716,26502
456,1862-08-03,423,717,25131
457,1862-08-04,323,750,23284
458,1862-08-05,385,660,24840
459,1862-08-06,454,840,24287
460,1862-08-07,436,715,25670
461,1862-08-08,410,869,25563
462,1862-08-09,332,725,23929
463,1862-08-10,406,681,25837
464,1862-08-11,478,708,23628
465,1862-08-12,247,701,20976
466,1862-08-13,296,711,23948
467,1862-08-14,362,690,24356
468,1862-08-15,474,779,23764
469,1862-08-16,409,648,22866
470,1862-08-17,368,591,24510
471,1862-08-18,528,893,25090
472,1862-08-19,447,836,27669
473,1862-08-20,410,666,24119
474,1862-08-21,500,679,27455
475,1862-08-22,427,637,23296
476,1862-08-23,441,736,25885
477,1862-08-24,476,773,27360
478,1862-08-25,553,848,25818
479,1862-08-26,426,733,23879
480,1862-08-27,419,518,23354
481,1862-08-28,476,638,25630
482,1862-08-29,474,665,27372
483,1862-08-31,379,657,25968
484,1862-09-01,430,786,24667
485,1862-09-02,478,716,22799
486,1862-09-03,431,688,24456
487,1862-09-04,440,750,25872
488,1862-09-05,365,799,24734
489,1862-09-06,455,733,24639
490,1862-09-07,479,714,24085
491,1862-09-08,524,869,26760
492,1862-09-09,429,816,25066
493,1862-09-10,350,541,21707
494,1862-09-11,416,636,26301
495,1862-09-12,394,741,25374
496,1862-09-13,342,682,25375
497,1862-09-14,424,667,25744
498,1862-09-15,533,753,25323
499,1862-09-16,337,773,24409
500,1862-09-17,373,710,23280
501,1862-09-18,486,771,24820
502,1862-09-19,402,796,24498
503,1862-09-20,404,732,25277
504,1862-09-21,359,673,22128
505,1862-09-22,514,877,27489
506,1862-09-23,388,701,23814
507,1862-09-24,329,704,25718
508,1862-09-25,331,574,21129
509,1862-09-26,403,772,24229
510,1862-09-28,365,643,24570
511,1862-09-29,370,668,22253
512,1862-09-30,384,583,21964
513,1862-10-02,463,677,24833
514,1862-10-03,414,686,24920
515,1862-10-04,450,719,25157
516,1862-10-05,396,889,25020
517,1862-10-06,457,747,22266
518,1862-10-07,300,668,20466
519,1862-10-08,276,505,19047
520,1862-10-09,403,767,25184
521,1862-10-11,355,671,24239
522,1862-10-13,389,664,24563
523,1862-10-14,331,730,24516
524,1862-10-15,281,564,19081
525,1862-10-18,288,556,20821
526,1862-10-20,374,706,23707
527,1862-10-21,383,840,24268
528,1862-10-22,308,592,22258
529,1862-10-23,425,660,24008
