,date,neg,pos,total
598,1905-12-14,516,712,26158
599,1905-12-15,444,766,25120
600,1905-12-16,428,719,25995
601,1905-12-17,422,687,24892
602,1905-12-18,500,702,25338
603,1905-12-19,532,686,25920
604,1905-12-20,492,664,26611
605,1905-12-21,467,682,25816
606,1905-12-22,411,626,25631
607,1905-12-24,417,664,25212
608,1905-12-25,529,762,25758
609,1905-12-26,494,681,25768
610,1905-12-27,467,710,27311
611,1905-12-28,540,630,26820
612,1905-12-29,458,733,25728
613,1906-01-01,518,733,25998
614,1906-01-02,580,710,25598
615,1906-01-04,474,727,26176
616,1906-01-07,462,626,24347
617,1906-01-08,431,502,23443
618,1906-01-09,436,665,26401
619,1906-01-10,434,631,24007
620,1906-01-11,528,686,26274
621,1906-01-12,410,672,26601
622,1906-01-13,418,606,25618
623,1906-01-15,450,761,26287
624,1906-01-16,451,647,24885
625,1906-01-19,383,631,26888
626,1906-01-22,436,668,25307
627,1906-01-23,413,591,24874
628,1906-01-25,409,684,26128
629,1906-01-26,405,653,26470
630,1906-01-27,372,565,24307
631,1906-01-28,332,627,22568
632,1906-01-29,435,663,25445
633,1906-01-30,411,686,26047
634,1906-01-31,493,641,26837
635,1906-02-01,438,668,26769
636,1906-02-02,520,726,24715
637,1906-02-03,416,700,25448
638,1906-02-04,394,623,25895
639,1906-02-05,446,713,25326
640,1906-02-08,437,726,26417
641,1906-02-09,397,705,25805
642,1906-02-10,433,714,26913
643,1906-02-11,459,578,25095
644,1906-02-12,435,744,25526
645,1906-02-13,403,604,25824
646,1906-02-14,369,483,24627
647,1906-02-15,393,621,26035
648,1906-02-16,328,634,23537
649,1906-02-17,424,673,25824
650,1906-02-18,412,652,24344
651,1906-02-19,401,775,25589
652,1906-02-20,448,745,26821
653,1906-02-21,409,710,27182
654,1906-02-22,409,575,21810
655,1906-02-24,442,653,26396
656,1906-02-25,428,672,25776
657,1906-02-26,457,743,25784
658,1906-02-27,400,671,26128
659,1906-02-28,446,636,26560
660,1906-03-01,460,592,26813
661,1906-03-02,444,734,26696
662,1906-03-03,351,540,24133
663,1906-03-05,435,691,25284
664,1906-03-08,465,516,22660
665,1906-03-09,394,635,26062
