,date,pas,total
465,1869-10-16,92,20854
466,1869-10-17,78,17504
467,1869-10-18,78,16764
468,1869-10-19,105,17394
469,1869-10-20,73,18059
470,1869-10-21,71,16367
471,1869-10-22,102,16995
472,1869-10-23,89,17474
473,1869-10-24,84,17441
474,1869-10-25,103,19720
475,1869-10-26,114,21181
476,1869-10-27,133,23193
477,1869-10-28,114,18109
478,1869-10-29,110,22631
479,1869-10-30,111,20933
480,1869-10-31,101,22187
481,1869-11-01,92,17777
482,1869-11-02,95,21875
483,1869-11-03,105,22882
484,1869-11-04,117,22396
485,1869-11-05,134,22476
486,1869-11-06,94,20222
487,1869-11-07,96,19161
488,1869-11-08,88,20861
489,1869-11-09,120,21976
490,1869-11-10,120,21714
491,1869-11-11,130,23188
492,1869-11-12,99,21711
493,1869-11-13,109,21165
494,1869-11-14,117,21527
495,1869-11-15,106,20552
496,1869-11-16,102,19113
497,1869-11-17,91,21159
498,1869-11-18,105,22959
499,1869-11-19,97,24037
500,1869-11-20,133,22830
501,1869-11-21,105,20146
502,1869-11-22,108,18515
503,1869-11-23,108,21278
504,1869-11-24,98,21001
505,1869-11-25,128,22694
506,1869-11-26,122,21550
507,1869-11-27,114,22472
508,1869-11-28,105,22632
509,1869-11-29,7,1288
510,1869-11-30,91,17840
511,1869-12-01,122,19582
512,1869-12-02,117,21019
513,1869-12-03,140,20492
514,1869-12-04,96,20832
515,1869-12-05,78,20424
516,1869-12-06,109,21199
517,1869-12-07,89,19670
518,1869-12-08,103,19199
519,1869-12-09,130,22287
520,1869-12-10,105,20537
521,1869-12-11,114,20945
522,1869-12-12,99,21183
523,1869-12-13,58,9608
524,1869-12-14,107,19812
525,1869-12-15,81,21587
526,1869-12-16,89,20497
527,1869-12-17,103,21372
528,1869-12-18,115,19512
529,1869-12-19,124,22014
530,1869-12-20,102,20294
531,1869-12-21,100,21272
532,1869-12-22,106,21807
533,1869-12-23,77,10082
534,1869-12-24,121,23035
535,1869-12-25,101,23505
536,1869-12-26,85,19591
537,1869-12-27,90,22076
538,1869-12-28,100,21474
539,1869-12-29,94,22516
540,1869-12-30,141,22965
541,1869-12-31,158,23682
542,1870-01-01,168,24997
543,1870-01-02,117,24914
544,1870-01-03,142,22036
545,1870-01-04,120,22438
546,1870-01-05,139,23104
547,1870-01-06,117,22936
548,1870-01-07,141,22095
549,1870-01-08,122,22019
550,1870-01-09,122,22557
551,1870-01-10,123,22823
552,1870-01-11,98,22410
553,1870-01-12,103,22485
554,1870-01-13,68,22431
555,1870-01-14,103,21387
556,1870-01-15,123,22044
557,1870-01-16,128,23148
558,1870-01-17,120,21506
559,1870-01-18,113,19378
560,1870-01-19,101,22647
561,1870-01-20,123,22128
562,1870-01-21,132,11567
563,1870-01-22,123,22324
564,1870-01-23,113,21713
565,1870-01-24,114,13092
566,1870-01-25,157,20259
