date,count,base,mot,url,ratio,resolution,corpus,langue,bibli,search_mode
1791/05,0,597,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221791/05/01%22%20and%20gallicapublication_date%3C=%221791/05/31%22),0,Mois,Presse,Français,Gallica,Document
1791/06,0,540,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221791/06/01%22%20and%20gallicapublication_date%3C=%221791/06/30%22),0,Mois,Presse,Français,Gallica,Document
1791/07,0,583,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221791/07/01%22%20and%20gallicapublication_date%3C=%221791/07/31%22),0,Mois,Presse,Français,Gallica,Document
1791/08,0,600,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221791/08/01%22%20and%20gallicapublication_date%3C=%221791/08/31%22),0,Mois,Presse,Français,Gallica,Document
1791/09,0,558,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221791/09/01%22%20and%20gallicapublication_date%3C=%221791/09/30%22),0,Mois,Presse,Français,Gallica,Document
1791/10,0,522,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221791/10/01%22%20and%20gallicapublication_date%3C=%221791/10/31%22),0,Mois,Presse,Français,Gallica,Document
1791/11,0,460,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221791/11/01%22%20and%20gallicapublication_date%3C=%221791/11/30%22),0,Mois,Presse,Français,Gallica,Document
1791/12,0,497,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221791/12/01%22%20and%20gallicapublication_date%3C=%221791/12/31%22),0,Mois,Presse,Français,Gallica,Document
1792/01,0,566,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221792/01/01%22%20and%20gallicapublication_date%3C=%221792/01/31%22),0,Mois,Presse,Français,Gallica,Document
1792/02,0,486,panique*bourse,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=25&page=1&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20((%20text%20adj%20%22panique%22%20%20prox/unit=word/distance=20%20%22bourse%22))%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221792/02/01%22%20and%20gallicapublication_date%3C=%221792/02/29%22),0,Mois,Presse,Français,Gallica,Document
