"preusuel";"sexratio_prenom";"n";"sexe_prenom"
"adriano";1;2317;"Homme"
"adriel";1;500;"Homme"
"adrien";0,999837155250263;135098;"Homme"
"adrienne";0;34918;"Femme"
"adryan";1;183;"Homme"
"adryen";1;138;"Homme"
"adyl";1;105;"Homme"
"aedan";1;651;"Homme"
"aédan";1;152;"Homme"
"aeden";1;114;"Homme"
"aela";0;521;"Femme"
"aëla";0;152;"Femme"
"aelia";0;486;"Femme"
"aélia";0;221;"Femme"
"aelig";0,559139784946237;279;"Epicene"
"aelis";0;193;"Femme"
"aelle";0;106;"Femme"
"aelys";0;400;"Femme"
"aélys";0;229;"Femme"
"aëlys";0;370;"Femme"
"aenor";0;202;"Femme"
"aeris";0;120;"Femme"
"afaf";0;314;"Femme"
"afef";0;172;"Femme"
"afida";0;147;"Femme"
"afif";1;322;"Homme"
"afifa";0;150;"Femme"
"afnane";0;167;"Femme"
"afonso";1;207;"Homme"
"agata";0;208;"Femme"
"agate";0;262;"Femme"
"agatha";0;550;"Femme"
"agathe";0,00436969774480965;46914;"Femme"
"agenor";1;229;"Homme"
"aghilas";1;101;"Homme"
"aghiles";1;161;"Homme"
"aglae";0;1500;"Femme"
"aglaé";0;318;"Femme"
"aglaee";0;275;"Femme"
"agnan";0,725055432372506;451;"Epicene"
"agnes";0;157;"Femme"
"agnès";0,00244758965627328;112764;"Femme"
"agnese";0;184;"Femme"
"agostinho";1;285;"Homme"
"agostino";1;321;"Homme"
"agustin";1;192;"Homme"
"aharon";1;216;"Homme"
"ahcene";1;615;"Homme"
"ahlam";0;874;"Femme"
"ahlame";0;274;"Femme"
"ahlem";0;1284;"Femme"
"ahleme";0;137;"Femme"
"ahmad";1;912;"Homme"
"ahmadou";1;236;"Homme"
"ahmed";1;19820;"Homme"
"ahmed amine";1;128;"Homme"
"ahmet";1;2460;"Homme"
"ahmid";1;117;"Homme"
"aicha";0;11123;"Femme"
"aïcha";0;3728;"Femme"
"aichata";0;125;"Femme"
"aichatou";0;122;"Femme"
"aida";0;2557;"Femme"
"aïda";0;830;"Femme"
"aidan";1;1405;"Homme"
"aïdan";1;643;"Homme"
"aidee";0;130;"Femme"
"aiden";0,966467065868263;835;"Homme"
"aïden";1;552;"Homme"
"aiko";0,239130434782609;138;"Epicene"
"aileen";0;286;"Femme"
"aima";0;302;"Femme"
"aimable";0,893827160493827;1215;"Homme"
"aimad";1;232;"Homme"
"aiman";1;377;"Homme"
"aimane";0,929878048780488;328;"Homme"
"aimée";0,00326059694005518;27909;"Femme"
"aimeline";0;127;"Femme"
"aimen";1;815;"Homme"
"aimeric";1;744;"Homme"
"aimerick";1;135;"Homme"
"aimery";1;288;"Homme"
"aimie";0;957;"Femme"
"aimy";0;1327;"Femme"
"aina";0,166936790923825;617;"Femme"
"aïna";0;449;"Femme"
"ainara";0;176;"Femme"
"ainhoa";0;1067;"Femme"
"aïnhoa";0;262;"Femme"
"ainoa";0;230;"Femme"
"aisha";0;544;"Femme"
"aïsha";0;394;"Femme"
"aissa";0,877642536835362;3122;"Homme"
"aïssa";0,789529914529915;936;"Epicene"
"aissam";1;416;"Homme"
"aissata";0;1813;"Femme"
"aïssata";0;543;"Femme"
"aissatou";0;1583;"Femme"
"aïssatou";0;500;"Femme"
"aisse";0;420;"Femme"
"aïssé";0;118;"Femme"
"aisseta";0;138;"Femme"
"aissetou";0;349;"Femme"
"aissia";0;105;"Femme"
"aitana";0;127;"Femme"
"aitor";1;179;"Homme"
"aiya";0;204;"Femme"
"aiyana";0;306;"Femme"
"ajay";1;138;"Homme"
"akash";1;126;"Homme"
"akif";1;230;"Homme"
"akil";1;218;"Homme"
"akila";0;627;"Femme"
"akim";1;3693;"Homme"
"akima";0;467;"Femme"
"akin";1;282;"Homme"
"akira";0,775641025641026;156;"Epicene"
"akli";1;675;"Homme"
"akram";1;1766;"Homme"
"aksel";0,987165178571429;1792;"Homme"
"akshaya";0;137;"Femme"
"aksil";1;521;"Homme"
"alaa";0,236220472440945;635;"Epicene"
"aladin";1;210;"Homme"
"alae";0,2;305;"Femme"
"alaeddine";1;197;"Homme"
"alaia";0;229;"Femme"
"alain";0,999932922053453;506873;"Homme"
"alais";0;751;"Femme"
"alaïs";0;292;"Femme"
"alan";1;19984;"Homme"
"alana";0;1864;"Femme"
"alane";1;303;"Homme"
"alanis";0;245;"Femme"
"alann";1;688;"Homme"
"alanna";0;146;"Femme"
"alannah";0;108;"Femme"
"alaric";1;694;"Homme"
"alassane";1;1073;"Homme"
"alaya";0,218181818181818;110;"Epicene"
"alayna";0;108;"Femme"
"alba";0;1621;"Femme"
"albain";1;194;"Homme"
"alban";0,996607067973009;26231;"Homme"
"albane";0;9670;"Femme"
"albanne";0;184;"Femme"
"albano";1;223;"Homme"
"alberic";1;1747;"Homme"
"albéric";1;224;"Homme"
"albert";0,99951028403526;204200;"Homme"
"alberta";0;465;"Femme"
"alberte";0;9160;"Femme"
"albertina";0;243;"Femme"
"albertine";0;28149;"Femme"
"alberto";1;2105;"Homme"
"albin";1;5049;"Homme"
"albina";0;431;"Femme"
"albine";0;1367;"Femme"
"albino";1;348;"Homme"
"alcida";0;161;"Femme"
"alcide";0,992843380126617;3633;"Homme"
"alcidie";0;182;"Femme"
"alcime";1;382;"Homme"
"alcina";0;102;"Femme"
"alcino";1;102;"Homme"
"alda";0;525;"Femme"
"aldegonde";0;109;"Femme"
"alderic";1;210;"Homme"
"aldina";0;178;"Femme"
"aldjia";0;233;"Femme"
"aldo";1;3541;"Homme"
"aldric";1;1083;"Homme"
"aldrick";1;166;"Homme"
"aldwin";1;155;"Homme"
"alec";1;1325;"Homme"
"alejandro";1;554;"Homme"
"alek";1;231;"Homme"
"aleksandar";1;637;"Homme"
"aleksander";1;181;"Homme"
"aleksandra";0;522;"Femme"
"aleksandre";1;108;"Homme"
"aleksi";1;111;"Homme"
"alen";1;271;"Homme"
"alena";0;471;"Femme"
"aléna";0;179;"Femme"
"alenzo";1;221;"Homme"
"ales";1;139;"Homme"
"alesia";0;261;"Femme"
"alessa";0;131;"Femme"
"alessandra";0;783;"Femme"
"alessandro";1;3304;"Homme"
"alessia";0;2310;"Femme"
"alessio";1;3902;"Homme"
"aleth";0;806;"Femme"
"alev";0;192;"Femme"
"alex";0,985037735227235;30343;"Homme"
"alexa";0;2052;"Femme"
"alexan";1;151;"Homme"
"alexander";1;2250;"Homme"
"alexandra";0,00032396708494417;92602;"Femme"
"alexandre";0,999280443113171;298795;"Homme"
"alexandrie";0;200;"Femme"
"alexandrina";0;231;"Femme"
"alexandrine";0;14043;"Femme"
"alexandro";1;583;"Homme"
"alexandru";1;395;"Homme"
"alexane";0;3552;"Femme"
"alexanne";0;287;"Femme"
"alexe";0;193;"Femme"
"alexei";1;200;"Homme"
"alexi";0,988944168048646;1809;"Homme"
"alexia";0;36701;"Femme"
"alexian";1;644;"Homme"
"alexiane";0;2269;"Femme"
"alexianne";0;147;"Femme"
"alexie";0;1246;"Femme"
"alexin";1;107;"Homme"
"alexina";0;1209;"Femme"
"alexine";0;1708;"Femme"
"alexio";1;124;"Homme"
"alexis";0,997553716312635;147162;"Homme"
"alexy";0,984770436730123;4465;"Homme"
"alexya";0;260;"Femme"
"alexys";1;347;"Homme"
"aleyna";0;2168;"Femme"
"alfio";1;118;"Homme"
"alfonso";1;606;"Homme"
"alfred";0,999589665653495;65800;"Homme"
"alfreda";0;5378;"Femme"
"alfrede";0,146919431279621;211;"Femme"
"alfredine";0;991;"Femme"
"alfredo";1;1130;"Homme"
"alhan";1;170;"Homme"
"alhassane";1;183;"Homme"
"ali";0,999011584232792;25293;"Homme"
"alia";0;3045;"Femme"
"aliah";0;166;"Femme"
"aliana";0;162;"Femme"
"alibert";1;100;"Homme"
"alican";1;119;"Homme"
"alice";0,000311671297714763;189302;"Femme"
"alicia";0;47547;"Femme"
"alick";1;147;"Homme"
"alicya";0;540;"Femme"
"alida";0;2213;"Femme"
"alienor";0;2678;"Femme"
"aliénor";0;1195;"Femme"
"aliette";0;3828;"Femme"
"alihan";1;122;"Homme"
"alim";1;324;"Homme"
"alima";0;756;"Femme"
"alimatou";0;120;"Femme"
"alin";0,955789473684211;475;"Homme"
"alina";0;1960;"Femme"
"aline";0;89886;"Femme"
"aliocha";1;223;"Homme"
"aliona";0;202;"Femme"
"aliou";1;644;"Homme"
"alioune";1;453;"Homme"
"alisa";0;329;"Femme"
"alise";0;321;"Femme"
"alisea";0;201;"Femme"
"alisee";0;311;"Femme"
"alisha";0;343;"Femme"
"alisia";0;113;"Femme"
"alison";0,00208755060728745;15808;"Femme"
"alisone";0;235;"Femme"
"alissa";0;1880;"Femme"
"alissia";0;991;"Femme"
"alisson";0;4331;"Femme"
"alissone";0;201;"Femme"
"alissya";0;152;"Femme"
"alistair";1;591;"Homme"
"alister";1;204;"Homme"
"alix";0,262989476462244;30313;"Epicene"
"alixe";0;1120;"Femme"
"alixia";0;495;"Femme"
"aliya";0;4301;"Femme"
"aliyah";0;3080;"Femme"
"aliza";0;231;"Femme"
"alize";0;1556;"Femme"
"alizé";0;469;"Femme"
"alizea";0;536;"Femme"
"alizéa";0;150;"Femme"
"alizee";0;369;"Femme"
"alizée";0;12478;"Femme"
"alizia";0;111;"Femme"
"allain";1;2985;"Homme"
"allal";1;166;"Homme"
"allan";1;17365;"Homme"
"allande";1;106;"Homme"
"allaoua";1;109;"Homme"
"allegra";0;162;"Femme"
"allen";1;243;"Homme"
"allia";0;229;"Femme"
"alliette";0;224;"Femme"
"allison";0;5473;"Femme"
"allissia";0;106;"Femme"
"allisson";0;494;"Femme"
"alliya";0;115;"Femme"
"alliyah";0;163;"Femme"
"ally";0,204819277108434;166;"Epicene"
"allya";0;481;"Femme"
"allyah";0;273;"Femme"
"allycia";0;161;"Femme"
"allyson";0;737;"Femme"
"allyssa";0;123;"Femme"
"allyssia";0;119;"Femme"
"alma";0;2724;"Femme"
"almamy";1;197;"Homme"
"almina";0;158;"Femme"
"almir";1;163;"Homme"
"almira";0;103;"Femme"
"almire";0,916666666666667;324;"Homme"
"alodie";0;135;"Femme"
"alois";0,938993273022501;4311;"Homme"
"aloïs";0,960629921259842;1778;"Homme"
"aloise";0,822088724584104;2164;"Homme"
"aloïse";0;187;"Femme"
"alon";1;241;"Homme"
"alone";1;196;"Homme"
"alonso";1;335;"Homme"
"alonzo";1;773;"Homme"
"aloys";1;1156;"Homme"
"aloyse";0,945054945054945;2730;"Homme"
"aloysia";0;106;"Femme"
"alparslan";1;117;"Homme"
"alpaslan";1;110;"Homme"
"alper";1;411;"Homme"
"alperen";1;499;"Homme"
"alphee";0,819277108433735;166;"Homme"
"alphonse";0,997480817232135;43268;"Homme"
"alphonsia";0;115;"Femme"
"alphonsine";0;13360;"Femme"
"alphonso";1;189;"Homme"
"alric";1;354;"Homme"
"alrick";1;308;"Homme"
"altan";1;143;"Homme"
"althea";0;280;"Femme"
"alvaro";1;614;"Homme"
"alvin";1;1749;"Homme"
"alvina";0;709;"Femme"
"alvine";0,366366366366366;333;"Epicene"
"alvyn";1;307;"Homme"
"alwena";0;1055;"Femme"
"alwenna";0;210;"Femme"
"alwin";1;278;"Homme"
"alwine";0;109;"Femme"
"alya";0;4760;"Femme"
"alyah";0;1029;"Femme"
"alyana";0;247;"Femme"
"alyce";0;119;"Femme"
"alycia";0;5184;"Femme"
"alyette";0;326;"Femme"
"alyna";0;183;"Femme"
"alyne";0;164;"Femme"
"alys";0;316;"Femme"
"alysee";0;352;"Femme"
"alysha";0;113;"Femme"
"alyson";0;2823;"Femme"
"alyssa";0;9814;"Femme"
"alysse";0;170;"Femme"
"alyssia";0;3796;"Femme"
"alysson";0;1303;"Femme"
"alyx";0,432;125;"Epicene"
"alyzee";0;442;"Femme"
"alyzée";0;171;"Femme"
"alzira";0;118;"Femme"
"alzire";0,290598290598291;117;"Epicene"
"amable";0,910290237467018;379;"Homme"
"amadeo";1;272;"Homme"
"amador";1;158;"Homme"
"amadou";1;2579;"Homme"
"amael";0,959749552772809;1118;"Homme"
"amaël";1;542;"Homme"
"amaelle";0;390;"Femme"
"amaëlle";0;117;"Femme"
"amaia";0;1015;"Femme"
"amaïa";0;218;"Femme"
"amal";0,0330052113491604;3454;"Femme"
"amale";0;638;"Femme"
"amalia";0;2753;"Femme"
"amalie";0;188;"Femme"
"amalric";1;121;"Homme"
"amalya";0;483;"Femme"
"aman";0,828193832599119;227;"Homme"
"amana";0;165;"Femme"
"amance";0,1375;240;"Femme"
"amand";1;3580;"Homme"
"amanda";0;6415;"Femme"
"amande";0;297;"Femme"
"amandine";0;95422;"Femme"
"amandio";1;124;"Homme"
"amandyne";0;121;"Femme"
"amane";0,354477611940299;268;"Epicene"
"amani";0,0936093609360936;1111;"Femme"
"amans";1;170;"Homme"
"amante";0;117;"Femme"
"amany";0,115606936416185;173;"Femme"
"amar";1;6296;"Homme"
"amara";0,623005877413938;1191;"Epicene"
"amarande";0;129;"Femme"
"amaria";0;471;"Femme"
"amarine";0;112;"Femme"
"amaryllis";0;276;"Femme"
"amaury";1;17978;"Homme"
"amaya";0;1300;"Femme"
"amayas";1;219;"Homme"
"amber";0;332;"Femme"
"ambre";0,000876175140306424;42229;"Femme"
"ambrine";0;2413;"Femme"
"ambroise";0,97343902099847;7191;"Homme"
"ambroisine";0;1823;"Femme"
"amed";1;337;"Homme"
"amede";1;1353;"Homme"
"amedee";0,925140735417415;8349;"Homme"
"amédée";1;163;"Homme"
"amedeo";1;176;"Homme"
"amedine";0;154;"Femme"
"amel";0,0108638970971667;11506;"Femme"
"amela";0;136;"Femme"
"amele";0;447;"Femme"
"amelia";0;1034;"Femme"
"amélia";0;10167;"Femme"
"amelie";0;639;"Femme"
"amélie";0,00121981221042273;97556;"Femme"
"amelien";1;269;"Homme"
"amelina";0;548;"Femme"
"ameline";0;2207;"Femme"
"améline";0;156;"Femme"
"amelius";1;110;"Homme"
"amelle";0;1483;"Femme"
"amely";0;343;"Femme"
"amelya";0;420;"Femme"
"amélya";0;294;"Femme"
"amelyne";0;166;"Femme"
"amelys";0;176;"Femme"
"amen";0,714285714285714;105;"Epicene"
"ameni";0;131;"Femme"
"americo";1;276;"Homme"
"ameur";1;208;"Homme"
"amicie";0;579;"Femme"
"amid";1;104;"Homme"
"amidou";1;110;"Homme"
"amiel";1;149;"Homme"
"amilcar";1;206;"Homme"
"amin";1;3316;"Homme"
"amina";0;11913;"Femme"
"aminata";0;6805;"Femme"
"aminatou";0;130;"Femme"
"amine";0,991664038210247;22193;"Homme"
"aminthe";0;142;"Femme"
"amir";1;10063;"Homme"
"amira";0;6508;"Femme"
"amirouche";1;131;"Homme"
"amjad";1;797;"Homme"
"amjed";1;191;"Homme"
"ammar";1;492;"Homme"
"amna";0;438;"Femme"
"amor";1;457;"Homme"
"amory";1;515;"Homme"
"amos";1;304;"Homme"
"amparo";0;428;"Femme"
"amra";0;160;"Femme"
"amrane";1;124;"Homme"
"amyn";1;101;"Homme"
"amza";1;161;"Homme"
"ana bela";0;155;"Femme"
"ana cristina";0;103;"Femme"
"ana maria";0;716;"Femme"
"ana paula";0;126;"Femme"
"anabel";0;613;"Femme"
"anabela";0;794;"Femme"
"anabella";0;325;"Femme"
"anabelle";0;2489;"Femme"
"anaclet";1;200;"Homme"
"anae";0;3126;"Femme"
"anaé";0;3190;"Femme"
"anaë";0;828;"Femme"
"anaée";0;102;"Femme"
"anael";0,578098180569859;2913;"Epicene"
"anaël";0,619360902255639;1064;"Epicene"
"anaele";0;408;"Femme"
"anaële";0;114;"Femme"
"anaelle";0;17798;"Femme"
"anaëlle";0;5261;"Femme"
"anahi";0;146;"Femme"
"anahid";0;105;"Femme"
"anahit";0;105;"Femme"
"anahita";0;182;"Femme"
"anaia";0;139;"Femme"
"anaïa";0;156;"Femme"
"anaick";0,195020746887967;241;"Femme"
"anaig";0;154;"Femme"
"anaik";0;148;"Femme"
"anais";0;3574;"Femme"
"anaïs";0;128546;"Femme"
"anaise";0;968;"Femme"
"anakin";1;372;"Homme"
"analia";0;203;"Femme"
"analie";0;109;"Femme"
"ananda";0,250996015936255;251;"Epicene"
"anas";1;7590;"Homme"
"anass";1;1941;"Homme"
"anasse";1;342;"Homme"
"anastacia";0;173;"Femme"
"anastase";0,918367346938776;588;"Homme"
"anastasia";0;6615;"Femme"
"anastasie";0,0137292464878672;3132;"Femme"
"anastassia";0;277;"Femme"
"anasthase";1;159;"Homme"
"anasthasia";0;400;"Femme"
"anasthasie";0;497;"Femme"
"anathalie";0;117;"Femme"
"anatole";0,985050029429076;8495;"Homme"
"anatolie";0;238;"Femme"
"anatoline";0;107;"Femme"
"anaya";0;726;"Femme"
"anays";0;166;"Femme"
"ancelin";1;399;"Homme"
"andeol";1;186;"Homme"
"anderson";1;874;"Homme"
"andgel";0,824372759856631;279;"Homme"
"andgelina";0;109;"Femme"
"andi";1;155;"Homme"
"andie";0;156;"Femme"
"andoche";0,640102827763496;389;"Epicene"
"andoni";1;620;"Homme"
"andra";0;118;"Femme"
"andre";1;230;"Homme"
"andré";0,999090646286665;712594;"Homme"
"andré marie";1;115;"Homme"
"andré pierre";1;170;"Homme"
"andrea";0,660709726831759;3917;"Epicene"
"andréa";0,108845077378992;48592;"Femme"
"andreane";0;234;"Femme"
"andreanne";0;198;"Femme"
"andreas";0,983556012332991;2919;"Homme"
"andréas";1;710;"Homme"
"andrée";0,000575024461726094;215643;"Femme"
"andreea";0;196;"Femme"
"andrei";1;547;"Homme"
"andreia";0;644;"Femme"
"andreline";0;106;"Femme"
"andres";1;747;"Homme"
"andrès";1;103;"Homme"
"andrew";1;3351;"Homme"
"andrey";0,467289719626168;107;"Epicene"
"andria";0,887005649717514;354;"Homme"
"andry";1;289;"Homme"
"andy";0,986192291401948;11805;"Homme"
"anel";0,803921568627451;102;"Homme"
"anelia";0;151;"Femme"
"anelise";0;120;"Femme"
"anelyse";0;142;"Femme"
"anemone";0;174;"Femme"
"anes";1;1081;"Homme"
"anès";1;129;"Homme"
"aness";1;309;"Homme"
"anessa";0;111;"Femme"
"anette";0;352;"Femme"
"anfal";0;178;"Femme"
"anfel";0;293;"Femme"
"ange marie";0,537828947368421;608;"Epicene"
"angela";0;8584;"Femme"
"angéla";0;423;"Femme"
"angele";0;432;"Femme"
"angèle";0,00333672661463635;70728;"Femme"
"angeli";0,596899224806202;129;"Epicene"
"angelia";0;187;"Femme"
"angelica";0;1329;"Femme"
"angélica";0;126;"Femme"
"angelie";0;275;"Femme"
"angelika";0;329;"Femme"
"angelin";1;668;"Homme"
"angelina";0;19221;"Femme"
"angélina";0;1988;"Femme"
"angeline";0;13175;"Femme"
"angéline";0;1402;"Femme"
"angelino";1;308;"Homme"
"angeliqua";0;120;"Femme"
"angelique";0;76589;"Femme"
"angélique";0;15357;"Femme"
"angelita";0;269;"Femme"
"angella";0;279;"Femme"
"angelle";0;233;"Femme"
"angelo";1;12071;"Homme"
"angélo";1;352;"Homme"
"angely";0,672932330827068;266;"Epicene"
"angelyna";0;134;"Femme"
"angelyne";0;174;"Femme"
"anges";0,567796610169492;118;"Epicene"
"angie";0,0370508982035928;2672;"Femme"
"angus";1;306;"Homme"
"angy";0,541133455210238;547;"Epicene"
"ania";0;1255;"Femme"
"anibal";1;109;"Homme"
"anic";0;268;"Femme"
"anica";0;135;"Femme"
"anice";0,791946308724832;298;"Epicene"
"anicee";0;151;"Femme"
"anicet";0,919496855345912;2385;"Homme"
"anicette";0;777;"Femme"
"anicia";0;258;"Femme"
"anick";0,0127118644067797;2832;"Femme"
"anie";0;679;"Femme"
"aniel";1;144;"Homme"
"aniela";0;509;"Femme"
"anielle";0;114;"Femme"
"anifa";0;124;"Femme"
"anik";0,0902777777777778;432;"Femme"
"anika";0;181;"Femme"
"anil";1;432;"Homme"
"anique";0;113;"Femme"
"anir";1;364;"Homme"
"anisa";0;428;"Femme"
"anise";0,126262626262626;396;"Femme"
"aniss";1;911;"Homme"
"anissa";0;18363;"Femme"
"anisse";1;692;"Homme"
"anissia";0;227;"Femme"
"anita";0;29365;"Femme"
"anite";0;143;"Femme"
"anitha";0;102;"Femme"
"anja";0;292;"Femme"
"anjali";0;416;"Femme"
"anna";0;109457;"Femme"
"anna lou";0;164;"Femme"
"anna maria";0;1398;"Femme"
"anna marie";0;255;"Femme"
"anna rose";0;255;"Femme"
"annabel";0;2330;"Femme"
"annabella";0;687;"Femme"
"annabelle";0;18175;"Femme"
"annae";0;111;"Femme"
"annaé";0;120;"Femme"
"annael";0,0985074626865672;335;"Femme"
"annaelle";0;4065;"Femme"
"annaëlle";0;1137;"Femme"
"annah";0;393;"Femme"
"annaick";0;959;"Femme"
"annaïck";0;165;"Femme"
"annaig";0;863;"Femme"
"annaïg";0;209;"Femme"
"annaik";0;299;"Femme"
"annais";0;254;"Femme"
